Time, Freq, J11, J12, J21, J22
2020-12-15T20:04:00,20000000.0,(-0.5298454906468416+0.04021769802693895j),(-0.5841047071661044-0.0034169425848122907j),(-0.42532621549686755+0.05289709600235071j),(0.5909253495794617-0.015127994810567107j)
2020-12-15T20:12:32,20000000.0,(-0.5380237464744828+0.04220131364190522j),(-0.5708990313077457-0.0029097669893358574j),(-0.4203827376145916+0.050564504985358714j),(0.6119674979224524-0.013371636007773175j)
2020-12-15T20:21:04,20000000.0,(-0.5456765642248106+0.04409033189504606j),(-0.5564245000230381-0.002249117098825736j),(-0.4150251325732792+0.048181058066525055j),(0.6320532927039845-0.011754150697472602j)
2020-12-15T20:29:36,20000000.0,(-0.5528075711766985+0.04589223503888364j),(-0.5407359231339547-0.0014379076885574762j),(-0.40926243754167946+0.045746773872514j),(0.6511003991734082-0.010283143881866212j)
2020-12-15T20:38:08,20000000.0,(-0.5594203636153778+0.04761445173154326j),(-0.5238932643742391-0.0004797150103029264j),(-0.40310243148449576+0.043260939347150765j),(0.6690304582578894-0.008965301336649075j)
2020-12-15T20:46:40,20000000.0,(-0.5655182062497123+0.049264158350247576j),(-0.5059613569675676+0.0006212154707485027j),(-0.39655179358554354+0.040722173748231734j),(0.6857695711952543-0.007806406094290445j)
2020-12-15T20:55:12,20000000.0,(-0.5711037526755668+0.05084809879743927j),(-0.48700958259567595+0.001859958024074053j),(-0.3896162811605929+0.038128507934077197j),(0.7012487593682315-0.006811358262384902j)
2020-12-15T21:03:44,20000000.0,(-0.5761787887586421+0.05237242482599751j),(-0.46711152000472683+0.003230895366505805j),(-0.38230092304511104+0.03547747971557103j),(0.7154043931399741-0.005984197666143503j)
2020-12-15T21:12:16,20000000.0,(-0.5807439997688735+0.053842557599483115j),(-0.44634456918108356+0.004727709701651822j),(-0.3746102255162844+0.03276624578816258j),(0.7281785845504342-0.005328128415186814j)
2020-12-15T21:20:48,20000000.0,(-0.5847987620413385+0.055263070274773285j),(-0.42478955441487587+0.006343377969931785j),(-0.3665483882553184+0.02999171002431293j),(0.7395195404285415-0.004845543971275908j)
2020-12-15T21:29:20,20000000.0,(-0.5883409594618585+0.056637590520736275j),(-0.4025303113556429+0.008070172074769115j),(-0.35811952969866223+0.027150667514431917j),(0.7493818706475626-0.004538050940084528j)
2020-12-15T21:37:52,20000000.0,(-0.5913668265377068+0.057968721853240084j),(-0.37965325990433135+0.009899664153652468j),(-0.34932792052272893+0.02423996242934466j),(0.7577268479729967-0.004406489328628281j)
2020-12-15T21:46:24,20000000.0,(-0.5938708204483268+0.059257982675771106j),(-0.35624696641937204+0.011822736180326332j),(-0.34017822440760415+0.021256656927038882j),(0.764522614542613-0.0044509469181269155j)
2020-12-15T21:54:56,20000000.0,(-0.5958455255857584+0.060505762321033496j),(-0.3324016993167116+0.013829592819030366j),(-0.33067574450549914+0.01819820727940079j),(0.7697443304227763-0.004670765497260171j)
2020-12-15T22:03:28,20000000.0,(-0.5972815949127012+0.06171129399301383j),(-0.3082089810416067+0.015909776623081042j),(-0.320826672100088+0.0150626422594317j),(0.7733742608706854-0.005064537168024236j)
2020-12-15T22:12:00,20000000.0,(-0.5981677321325615+0.06287264480076257j),(-0.28376114313383+0.018052184768328337j),(-0.3106383337325669+0.01184873860969848j),(0.7754017993054773-0.005630089704770573j)
2020-12-15T22:20:32,20000000.0,(-0.5984907182240652+0.06398672346382928j),(-0.2591508900892845+0.020245087197752164j),(-0.3001194312901322+0.008556188027056539j),(0.7758234255572279-0.0063644609053416824j)
2020-12-15T22:29:04,20000000.0,(-0.5982354844831578+0.06504930630503336j),(-0.23447087822885992+0.0224761466869721j),(-0.28928026891717856+0.005185750401664958j),(0.7746426009051439-0.007263862947936492j)
2020-12-15T22:37:36,20000000.0,(-0.5973852324848102+0.06605508188102777j),(-0.20981331746981702+0.02473244178366726j),(-0.27813296132350085+0.0017393889957729592j),(0.7718696037510594-0.008323638685577001j)
2020-12-15T22:46:08,20000000.0,(-0.5959215996112799+0.06699771431842086j),(-0.1852696012699569+0.027000494220339774j),(-0.266691617797573-0.0017796159886739535j),(0.7675213121428535-0.009538212625422036j)
2020-12-15T22:54:40,20000000.0,(-0.5938248670167183+0.06786992486882219j),(-0.16092997012191032+0.029266302574658096j),(-0.2549724977908273-0.005366577648050961j),(0.761620941009766-0.01090103980301818j)
